sequenceID,URL,division,country,host,state,strain,collection_data,authors
KJ501538,,NY,United-States,Mosquito-Culex,NY,WN02,2011-07-26,Newman et al
KJ501539,,NY,United-States,Mosquito-Culex,NY,WN02,2011-09-23,Newman et al
KX547368,,NY/Rockland,United-States,Mosquito-Culex,NY,WN02,2009-08-28,Shabman et al
KX547495,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2011-07-21,Shabman et al
KX547242,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2010-08-03,Shabman et al
JQ700442,,NY,United-States,Human,NY,WN02,2011-08-01,Anez et al
KJ501534,,NY,United-States,Mosquito-Culex,NY,WN02,2011-08-25,Newman et al
KX547369,,NY/Westchester,United-States,Mosquito-Culex,NY,WN02,2011-08-25,Shabman et al
KX547195,,NY/Bronx,United-States,Bird-crow,NY,WN02,2007-09-19,Shabman et al
MF004388,,WI,United-States,Human,WI,WN02,2008-09-30,Baronti et al
KX547431,,NY/Niagara,United-States,Mosquito-Culex,NY,WN02,2006-08-17,Shabman et al
